pr_id,repo,author_type,agent,language,change_type,commits,additions,deletions,files_changed,description_length,lexical_similarity,semantic_similarity,review_time_hours,nn_layers_modified,test_coverage_delta,net_lines
212,transaction-anomaly-detection,Human,Human,Python,model_architecture,8,195,121,5,73,0.4829,0.6744,16.34,0,-2.63,74
213,deepfraud-pytorch,Human,Human,R,bug_fix,8,161,414,7,62,0.2622,0.2021,33.06,1,-2.95,-253
214,transaction-anomaly-detection,AI,Devin,Python,model_architecture,2,215,24,3,118,0.728,0.6937,3.61,4,1.3,191
215,autoencoder-fraud,Human,Human,Jupyter Notebook,model_architecture,5,2998,34,5,64,0.6863,0.5887,6.55,3,-1.17,2964
216,transaction-anomaly-detection,AI,Devin,Python,data_pipeline,4,13,25,2,161,0.6137,0.7919,65.38,1,0.61,-12
217,xgboost-fraud-pipeline,AI,OpenAI Codex,Jupyter Notebook,model_architecture,3,97,29,2,139,0.5513,0.7285,10.16,1,-7.61,68
218,credit-card-fraud-ml,Human,Human,Jupyter Notebook,feature_engineering,5,518,27,6,73,0.2751,0.6114,128.72,2,-0.74,491
219,transaction-anomaly-detection,Human,Human,Python,refactor,4,268,65,3,70,0.4225,0.1894,67.33,3,-2.96,203
220,transaction-anomaly-detection,Human,Human,Python,hyperparameter_tuning,5,346,123,9,61,0.1507,0.5002,41.0,1,-3.42,223
221,autoencoder-fraud,Human,Human,Python,feature_engineering,4,2,3,7,85,0.7331,0.2443,19.6,3,3.89,-1
222,credit-card-fraud-ml,Human,Human,YAML,data_pipeline,4,115,66,6,90,0.6316,0.3494,40.46,1,2.61,49
223,xgboost-fraud-pipeline,AI,GitHub Copilot,Jupyter Notebook,data_pipeline,1,57,20,3,138,0.6699,0.4433,3.62,2,-2.13,37
224,credit-card-fraud-ml,AI,OpenAI Codex,YAML,feature_engineering,1,34,59,2,138,0.9113,0.7068,7.13,1,-2.64,-25
225,antifraud-ensemble,AI,Devin,Jupyter Notebook,data_pipeline,5,34,18,4,114,0.5701,0.8707,9.25,6,-4.71,16
226,transaction-anomaly-detection,AI,Devin,Python,test_suite,1,159,33,3,136,0.7438,0.8252,20.84,1,2.41,126
227,xgboost-fraud-pipeline,Human,Human,Python,hyperparameter_tuning,6,154,76,6,94,0.2737,0.3596,45.75,0,-3.36,78
228,antifraud-ensemble,AI,OpenAI Codex,Python,model_architecture,4,47,304,1,132,0.6352,0.6885,102.24,1,5.25,-257
229,xgboost-fraud-pipeline,Human,Human,Python,feature_engineering,5,76,94,4,69,0.3082,0.7049,45.76,1,-3.04,-18
230,xgboost-fraud-pipeline,Human,Human,Python,model_architecture,2,494,21,5,73,0.2518,0.2771,13.03,2,1.45,473
231,credit-card-fraud-ml,Human,Human,SQL,data_pipeline,5,9,166,4,70,0.2885,0.5242,18.7,5,-0.55,-157
232,autoencoder-fraud,AI,Claude Code,Jupyter Notebook,documentation,3,42,7,3,138,0.7151,0.4566,9.92,1,3.78,35
233,xgboost-fraud-pipeline,Human,Human,Python,bug_fix,3,48,13,6,95,0.4526,0.5064,17.09,1,7.23,35
234,deepfraud-pytorch,AI,Claude Code,Python,hyperparameter_tuning,2,9,15,3,121,0.7442,0.7518,4.26,4,0.73,-6
235,antifraud-ensemble,AI,Devin,Python,bug_fix,1,98,54,1,148,0.8051,0.5874,39.42,0,5.03,44
236,autoencoder-fraud,Human,Human,Python,model_architecture,3,21,142,4,75,0.5628,0.0646,10.6,0,2.17,-121
237,fraud-detector-nn,AI,Devin,Python,bug_fix,1,162,130,2,110,0.7391,0.7779,8.41,3,-3.71,32
238,fraud-detector-nn,AI,GitHub Copilot,Jupyter Notebook,hyperparameter_tuning,1,575,25,3,147,0.8202,0.856,15.8,4,7.33,550
239,xgboost-fraud-pipeline,Human,Human,SQL,model_architecture,7,108,128,4,77,0.7281,0.6777,28.48,1,-5.61,-20
240,antifraud-ensemble,AI,GitHub Copilot,Python,model_architecture,1,14,27,1,119,0.7431,0.7287,31.93,0,2.53,-13
241,autoencoder-fraud,Human,Human,Python,model_architecture,4,159,273,6,89,0.2637,0.438,3.88,0,-2.25,-114
242,fraud-detector-nn,Human,Human,Python,model_architecture,7,528,344,6,80,0.4064,0.4755,6.25,6,-0.23,184
243,deepfraud-pytorch,Human,Human,Python,model_architecture,6,296,28,7,81,0.194,0.7971,9.95,2,-1.95,268
244,transaction-anomaly-detection,AI,OpenAI Codex,Jupyter Notebook,hyperparameter_tuning,1,77,62,2,121,0.8868,0.571,3.14,4,3.87,15
245,deepfraud-pytorch,AI,GitHub Copilot,Python,data_pipeline,1,44,58,2,134,0.6291,0.6024,38.36,4,-0.04,-14
246,fraud-detector-nn,Human,Human,SQL,feature_engineering,1,38,102,6,64,0.3959,0.0904,34.98,0,-9.09,-64
247,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,model_architecture,3,18,20,5,134,0.829,0.8154,26.35,6,2.61,-2
248,transaction-anomaly-detection,Human,Human,R,data_pipeline,2,8000,5,7,87,0.0657,0.2989,30.89,0,0.79,7995
249,fraud-detector-nn,Human,Human,Shell,test_suite,7,105,8,7,77,0.2292,0.388,17.37,0,9.0,97
250,antifraud-ensemble,Human,Human,Python,hyperparameter_tuning,4,174,53,3,89,0.475,0.4226,24.42,3,-3.39,121
251,deepfraud-pytorch,AI,Devin,Python,model_architecture,2,11,29,1,137,0.6141,0.7885,5.04,3,5.0,-18
252,transaction-anomaly-detection,AI,OpenAI Codex,Jupyter Notebook,documentation,2,39,26,5,132,0.7354,0.8182,74.52,0,1.29,13
253,credit-card-fraud-ml,Human,Human,Jupyter Notebook,data_pipeline,4,208,77,6,83,0.7371,0.343,150.91,0,10.36,131
254,autoencoder-fraud,AI,OpenAI Codex,Python,hyperparameter_tuning,3,15,16,1,149,0.745,0.4729,4.34,4,1.48,-1
255,deepfraud-pytorch,AI,GitHub Copilot,Python,model_architecture,1,13,10,4,142,0.7602,0.5933,11.44,5,0.71,3
256,credit-card-fraud-ml,Human,Human,Jupyter Notebook,data_pipeline,3,411,356,6,88,0.3132,0.5025,6.22,0,1.09,55
257,antifraud-ensemble,Human,Human,Jupyter Notebook,data_pipeline,4,220,37,6,87,0.6238,0.4833,13.34,0,-4.3,183
258,xgboost-fraud-pipeline,Human,Human,Python,hyperparameter_tuning,9,61,36,4,78,0.5293,0.2447,49.08,4,5.78,25
259,fraud-detector-nn,Human,Human,YAML,data_pipeline,4,177,72,4,84,0.5244,0.3561,132.12,0,3.6,105
260,autoencoder-fraud,AI,GitHub Copilot,Jupyter Notebook,hyperparameter_tuning,1,16,20,1,154,0.752,0.5814,10.85,1,0.43,-4
261,antifraud-ensemble,Human,Human,Python,feature_engineering,6,445,56,6,79,0.4837,0.117,9.23,1,3.87,389
262,autoencoder-fraud,Human,Human,Python,model_architecture,5,619,27,10,91,0.3812,0.9332,17.18,5,2.85,592
263,credit-card-fraud-ml,AI,GitHub Copilot,Python,model_architecture,1,103,15,5,128,0.6904,0.6265,7.22,5,5.98,88
264,transaction-anomaly-detection,AI,Claude Code,Python,hyperparameter_tuning,5,10,30,1,127,0.3871,0.558,2.6,3,2.77,-20
265,antifraud-ensemble,Human,Human,Python,model_architecture,5,301,299,3,80,0.414,0.4457,11.72,2,4.61,2
266,fraud-detector-nn,Human,Human,Python,data_pipeline,7,474,57,3,63,0.4032,0.3963,19.99,0,-2.79,417
267,transaction-anomaly-detection,Human,Human,Python,test_suite,6,60,117,5,67,0.1113,0.0808,26.7,1,-4.36,-57
268,transaction-anomaly-detection,Human,Human,Python,feature_engineering,6,578,182,2,78,0.3015,0.6096,8.68,1,5.18,396
269,fraud-detector-nn,AI,OpenAI Codex,Python,bug_fix,1,69,64,6,127,0.5632,0.8338,6.78,4,6.01,5
270,transaction-anomaly-detection,AI,Devin,Python,model_architecture,1,33,14,4,134,0.7537,0.9595,23.8,2,8.23,19
271,xgboost-fraud-pipeline,Human,Human,Python,feature_engineering,5,77,150,8,86,0.194,0.4076,25.12,1,-0.09,-73
272,xgboost-fraud-pipeline,Human,Human,Python,data_pipeline,10,128,842,10,77,0.3269,0.4483,80.38,0,2.12,-714
273,autoencoder-fraud,Human,Human,Python,documentation,7,44,218,8,87,0.6099,0.4733,23.78,0,0.17,-174
274,deepfraud-pytorch,Human,Human,Python,hyperparameter_tuning,3,233,4,7,68,0.2391,0.6676,75.9,1,2.44,229
275,transaction-anomaly-detection,AI,Claude Code,YAML,bug_fix,3,83,16,6,149,0.6705,0.7737,6.15,4,-2.43,67
276,autoencoder-fraud,AI,Claude Code,Python,test_suite,2,90,43,3,124,0.7918,0.384,4.2,4,3.89,47
277,credit-card-fraud-ml,Human,Human,Python,model_architecture,3,245,24,2,76,0.2384,0.3977,65.45,1,6.38,221
278,deepfraud-pytorch,Human,Human,Python,test_suite,7,278,35,9,86,0.2962,0.2905,11.34,1,-3.59,243
279,antifraud-ensemble,Human,Human,Python,hyperparameter_tuning,5,114,203,2,96,0.5857,0.5502,22.48,2,-0.41,-89
280,transaction-anomaly-detection,Human,Human,SQL,model_architecture,6,50,32,6,88,0.8182,0.6465,22.98,3,1.65,18
281,fraud-detector-nn,Human,Human,Python,data_pipeline,7,91,424,7,85,0.3409,0.8245,33.79,2,-0.81,-333
282,deepfraud-pytorch,AI,OpenAI Codex,Python,model_architecture,2,92,149,7,146,0.8667,0.7404,24.59,2,1.1,-57
283,transaction-anomaly-detection,AI,OpenAI Codex,Python,bug_fix,3,71,2,2,123,0.8904,0.9079,6.27,0,1.28,69
284,credit-card-fraud-ml,AI,GitHub Copilot,Python,model_architecture,1,43,33,3,125,0.5556,0.5887,35.55,8,-7.57,10
285,autoencoder-fraud,Human,Human,Jupyter Notebook,refactor,5,14,455,3,69,0.3695,0.6324,144.15,1,0.44,-441
286,xgboost-fraud-pipeline,AI,GitHub Copilot,Python,data_pipeline,1,8,38,2,121,0.6997,0.9541,15.23,2,-1.68,-30
287,transaction-anomaly-detection,AI,Claude Code,Python,model_architecture,1,78,21,2,118,0.821,0.7592,8.63,4,4.83,57
288,transaction-anomaly-detection,AI,Claude Code,Jupyter Notebook,hyperparameter_tuning,1,43,10,3,143,0.6747,0.7353,3.9,0,-0.6,33
289,deepfraud-pytorch,AI,Devin,Python,data_pipeline,3,154,13,1,128,0.5086,0.7328,13.39,4,-0.06,141
290,xgboost-fraud-pipeline,Human,Human,Python,test_suite,7,57,83,5,87,0.3633,0.5212,79.94,1,-8.95,-26
291,credit-card-fraud-ml,AI,GitHub Copilot,Python,feature_engineering,6,126,29,3,151,0.756,0.571,4.11,4,5.22,97
292,autoencoder-fraud,AI,GitHub Copilot,Python,hyperparameter_tuning,2,59,68,3,142,0.7125,0.5961,26.19,6,2.64,-9
293,autoencoder-fraud,Human,Human,Jupyter Notebook,refactor,6,45,777,6,72,0.4602,0.2978,16.75,1,-7.01,-732
294,transaction-anomaly-detection,AI,OpenAI Codex,YAML,hyperparameter_tuning,4,160,23,6,140,0.5727,0.7659,7.94,5,4.01,137
295,autoencoder-fraud,AI,GitHub Copilot,Python,data_pipeline,1,49,36,2,131,0.7665,0.8543,4.06,4,3.32,13
296,deepfraud-pytorch,AI,Claude Code,Python,data_pipeline,1,99,83,5,124,0.86,0.7875,5.81,4,0.59,16
297,fraud-detector-nn,Human,Human,Shell,test_suite,4,196,13,7,73,0.9059,0.557,22.43,1,7.58,183
298,transaction-anomaly-detection,AI,Devin,Python,feature_engineering,4,52,12,2,141,0.794,0.8401,21.23,3,6.87,40
299,antifraud-ensemble,Human,Human,Python,data_pipeline,3,93,61,5,88,0.5086,0.6352,34.95,1,-1.01,32
300,fraud-detector-nn,AI,GitHub Copilot,Python,documentation,5,118,22,4,145,0.5229,0.7877,7.2,5,4.73,96
301,transaction-anomaly-detection,AI,GitHub Copilot,Python,refactor,1,34,33,3,140,0.3508,0.8833,4.31,2,4.0,1
302,fraud-detector-nn,AI,Claude Code,Python,data_pipeline,2,94,5,4,119,0.6447,0.7755,11.62,3,-2.58,89
303,antifraud-ensemble,AI,Claude Code,Python,model_architecture,5,15,16,4,154,0.6118,0.6748,8.08,3,0.26,-1
304,fraud-detector-nn,Human,Human,Jupyter Notebook,refactor,2,113,11,10,70,0.4103,0.4443,7.66,0,-0.8,102
305,transaction-anomaly-detection,Human,Human,Python,data_pipeline,2,1950,73,6,69,0.3983,0.7831,20.13,0,2.95,1877
306,xgboost-fraud-pipeline,Human,Human,R,feature_engineering,5,64,26,5,82,0.2137,0.3342,129.22,0,3.28,38
307,antifraud-ensemble,AI,Claude Code,Python,bug_fix,1,49,101,5,126,0.7472,0.7512,12.62,3,3.74,-52
308,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,hyperparameter_tuning,3,81,5,4,141,0.7486,0.8633,14.87,1,6.82,76
309,xgboost-fraud-pipeline,Human,Human,Python,bug_fix,7,58,106,8,93,0.4938,0.3875,26.91,4,5.49,-48
310,xgboost-fraud-pipeline,AI,Devin,Python,refactor,2,37,235,1,157,0.7723,0.5777,8.28,7,-2.03,-198
311,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,model_architecture,4,38,25,3,147,0.7449,0.8536,17.53,3,2.32,13
312,credit-card-fraud-ml,AI,GitHub Copilot,Python,feature_engineering,5,58,25,5,145,0.9223,0.6763,51.06,1,1.91,33
313,autoencoder-fraud,AI,GitHub Copilot,Python,feature_engineering,4,24,83,4,120,0.9244,0.8264,17.93,2,1.82,-59
314,deepfraud-pytorch,Human,Human,Python,refactor,3,98,231,14,76,0.4849,0.3481,37.82,1,3.73,-133
315,deepfraud-pytorch,Human,Human,YAML,bug_fix,4,1043,560,5,85,0.4598,0.4834,54.31,2,-2.21,483
316,transaction-anomaly-detection,Human,Human,Shell,bug_fix,6,59,19,2,65,0.5553,0.2469,19.89,3,-3.96,40
317,autoencoder-fraud,AI,OpenAI Codex,SQL,hyperparameter_tuning,4,93,143,3,120,0.8023,0.6988,9.63,1,-3.1,-50
318,deepfraud-pytorch,AI,GitHub Copilot,YAML,refactor,3,11,14,7,140,0.4083,0.8767,10.54,3,2.47,-3
319,deepfraud-pytorch,AI,GitHub Copilot,Python,model_architecture,6,15,19,4,125,0.6511,0.8585,27.39,1,-3.35,-4
320,transaction-anomaly-detection,AI,Devin,Python,refactor,1,17,27,6,132,0.6068,0.9027,5.93,2,3.93,-10
321,transaction-anomaly-detection,AI,Claude Code,Python,bug_fix,2,66,52,3,149,0.4709,0.776,10.22,3,2.17,14
322,fraud-detector-nn,Human,Human,YAML,data_pipeline,3,47,56,5,68,0.4887,0.4228,103.67,2,5.52,-9
323,deepfraud-pytorch,Human,Human,Python,documentation,7,47,108,4,63,0.2064,0.7028,23.05,2,0.28,-61
324,xgboost-fraud-pipeline,AI,Devin,Python,data_pipeline,3,466,33,1,121,0.7994,0.5915,10.92,4,1.83,433
325,fraud-detector-nn,Human,Human,Python,refactor,8,294,900,5,73,0.4266,0.3323,7.84,1,11.97,-606
326,deepfraud-pytorch,Human,Human,Python,bug_fix,8,40,253,5,96,0.3969,0.3669,21.46,1,4.85,-213
327,deepfraud-pytorch,Human,Human,Jupyter Notebook,feature_engineering,5,81,113,9,75,0.4937,0.4718,34.2,2,-2.81,-32
328,credit-card-fraud-ml,Human,Human,Jupyter Notebook,feature_engineering,5,711,33,8,79,0.2721,0.3959,26.54,1,-4.18,678
329,deepfraud-pytorch,AI,OpenAI Codex,Shell,data_pipeline,3,118,123,1,129,0.6269,0.9006,13.14,1,1.01,-5
330,autoencoder-fraud,AI,Devin,Python,data_pipeline,4,20,14,2,130,0.8776,0.5005,24.07,1,0.98,6
331,transaction-anomaly-detection,AI,OpenAI Codex,Python,test_suite,2,72,46,2,129,0.851,0.9022,21.13,6,-1.41,26
332,deepfraud-pytorch,Human,Human,Jupyter Notebook,documentation,5,1089,215,8,75,0.232,0.531,200.0,3,-7.21,874
333,antifraud-ensemble,AI,GitHub Copilot,Python,model_architecture,3,206,9,5,137,0.7552,0.9002,37.94,5,0.54,197
334,xgboost-fraud-pipeline,AI,GitHub Copilot,Python,documentation,3,60,60,2,141,0.644,0.69,12.47,2,0.06,0
335,credit-card-fraud-ml,AI,GitHub Copilot,YAML,refactor,3,11,128,5,114,0.5775,0.602,10.43,6,4.98,-117
336,fraud-detector-nn,AI,GitHub Copilot,Python,feature_engineering,1,116,63,5,122,0.7371,0.9504,38.65,1,4.69,53
337,deepfraud-pytorch,Human,Human,Python,data_pipeline,1,481,7,5,79,0.3711,0.4981,13.8,4,5.44,474
338,deepfraud-pytorch,Human,Human,Python,refactor,6,330,59,4,85,0.5697,0.1553,14.73,3,-0.51,271
339,fraud-detector-nn,AI,Claude Code,Python,model_architecture,1,48,34,2,145,0.325,0.5309,8.26,2,7.87,14
340,credit-card-fraud-ml,AI,GitHub Copilot,Jupyter Notebook,model_architecture,2,35,28,1,133,0.8104,0.6858,7.48,3,-1.4,7
341,fraud-detector-nn,AI,Claude Code,Python,model_architecture,1,26,4,1,128,0.6667,0.8216,11.49,4,0.23,22
342,deepfraud-pytorch,AI,Claude Code,Jupyter Notebook,refactor,2,24,7,5,119,0.7403,0.5859,5.35,2,-4.64,17
343,fraud-detector-nn,AI,GitHub Copilot,R,model_architecture,1,30,12,5,124,0.6069,0.7856,15.09,2,-2.62,18
344,fraud-detector-nn,AI,OpenAI Codex,SQL,feature_engineering,2,32,25,5,126,0.7041,0.576,6.8,1,6.59,7
345,deepfraud-pytorch,AI,OpenAI Codex,Python,model_architecture,6,41,4,2,135,0.7389,0.8998,31.31,4,-1.14,37
346,credit-card-fraud-ml,Human,Human,Jupyter Notebook,data_pipeline,6,406,17,7,86,0.2669,0.4935,42.94,1,14.05,389
347,transaction-anomaly-detection,Human,Human,Jupyter Notebook,test_suite,7,335,24,8,92,0.4366,0.3518,38.62,2,-3.1,311
348,credit-card-fraud-ml,AI,GitHub Copilot,Python,model_architecture,2,122,10,4,133,0.6827,0.874,8.29,2,1.66,112
349,transaction-anomaly-detection,AI,OpenAI Codex,Python,test_suite,5,12,32,1,145,0.8864,0.6582,13.41,2,-8.24,-20
350,deepfraud-pytorch,Human,Human,SQL,data_pipeline,5,62,31,3,73,0.366,0.1999,40.5,2,-2.59,31
351,deepfraud-pytorch,AI,Claude Code,Jupyter Notebook,model_architecture,3,224,25,3,126,0.7922,0.8192,13.82,0,3.88,199
352,autoencoder-fraud,Human,Human,Jupyter Notebook,model_architecture,6,230,151,6,64,0.356,0.424,22.2,3,-5.16,79
353,autoencoder-fraud,Human,Human,Python,feature_engineering,3,154,36,5,73,0.2991,0.7077,55.8,0,-2.48,118
354,transaction-anomaly-detection,AI,GitHub Copilot,Python,test_suite,4,77,17,1,116,0.8439,0.6577,22.57,6,8.77,60
355,deepfraud-pytorch,AI,GitHub Copilot,Python,documentation,3,45,13,4,138,0.8922,0.9417,13.86,2,1.12,32
356,deepfraud-pytorch,Human,Human,Python,bug_fix,1,602,249,12,65,0.4165,0.2656,25.63,3,-3.34,353
357,transaction-anomaly-detection,AI,GitHub Copilot,Python,documentation,3,39,26,5,135,0.737,0.7149,19.1,2,2.33,13
358,autoencoder-fraud,Human,Human,Python,data_pipeline,7,124,168,6,71,0.2542,0.4182,67.59,0,-3.64,-44
359,autoencoder-fraud,Human,Human,Python,feature_engineering,2,40,508,1,62,0.2147,0.5602,136.09,1,2.71,-468
360,fraud-detector-nn,Human,Human,R,hyperparameter_tuning,5,627,46,5,63,0.3568,0.6114,11.16,2,-0.07,581
361,xgboost-fraud-pipeline,AI,OpenAI Codex,Jupyter Notebook,feature_engineering,1,130,3,1,140,0.7834,0.3961,8.6,8,8.48,127
362,credit-card-fraud-ml,Human,Human,Python,refactor,9,101,38,7,89,0.4813,0.9243,71.05,0,-1.35,63
363,credit-card-fraud-ml,AI,Claude Code,Python,hyperparameter_tuning,2,56,675,4,133,0.7077,0.8755,15.16,1,4.77,-619
364,autoencoder-fraud,AI,Claude Code,Python,bug_fix,1,41,26,1,146,0.7549,0.9132,15.46,2,2.24,15
365,antifraud-ensemble,Human,Human,Python,feature_engineering,10,147,11,5,82,0.5084,0.3106,28.62,0,-0.43,136
366,deepfraud-pytorch,AI,OpenAI Codex,Python,data_pipeline,1,42,70,4,128,0.8696,0.8659,5.62,2,1.8,-28
367,fraud-detector-nn,Human,Human,Shell,hyperparameter_tuning,4,654,69,7,70,0.581,0.2955,30.72,2,10.36,585
368,fraud-detector-nn,Human,Human,YAML,refactor,4,271,93,5,81,0.0931,0.4101,88.56,0,3.5,178
369,deepfraud-pytorch,AI,Devin,Shell,data_pipeline,1,50,49,4,151,0.579,0.693,5.86,1,-2.02,1
370,credit-card-fraud-ml,AI,GitHub Copilot,Python,bug_fix,2,175,3,1,159,0.65,0.7091,5.53,2,2.11,172
371,antifraud-ensemble,AI,GitHub Copilot,Python,data_pipeline,1,116,68,2,153,0.5873,0.7778,5.12,5,-5.75,48
372,antifraud-ensemble,AI,GitHub Copilot,Jupyter Notebook,model_architecture,3,11,24,3,149,0.8557,0.9139,29.32,3,5.0,-13
373,autoencoder-fraud,AI,GitHub Copilot,Jupyter Notebook,feature_engineering,1,38,48,1,129,0.5106,0.624,13.2,2,-2.25,-10
374,antifraud-ensemble,Human,Human,Python,data_pipeline,5,129,30,7,64,0.6938,0.6117,10.81,0,9.64,99
375,transaction-anomaly-detection,AI,GitHub Copilot,Python,data_pipeline,4,11,38,3,152,0.7361,0.4501,19.81,1,2.76,-27
376,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,model_architecture,1,80,29,2,131,0.9121,0.6103,10.63,3,-4.97,51
377,transaction-anomaly-detection,Human,Human,YAML,data_pipeline,8,86,40,7,89,0.3939,0.4716,18.74,0,4.47,46
378,deepfraud-pytorch,AI,GitHub Copilot,Python,test_suite,3,504,28,1,128,0.5736,0.5519,3.99,2,0.95,476
379,antifraud-ensemble,Human,Human,Python,data_pipeline,4,32,347,8,87,0.4334,0.1455,2.83,2,5.97,-315
380,autoencoder-fraud,AI,Devin,YAML,bug_fix,1,26,18,2,112,0.8173,0.8579,4.18,2,4.78,8
381,autoencoder-fraud,AI,GitHub Copilot,Python,documentation,1,24,212,1,131,0.8148,0.7495,15.77,1,-5.21,-188
382,fraud-detector-nn,Human,Human,Jupyter Notebook,data_pipeline,6,41,85,4,79,0.6269,0.2365,70.87,1,-3.3,-44
383,transaction-anomaly-detection,Human,Human,Python,bug_fix,3,1089,37,2,71,0.1901,0.1991,41.79,0,8.17,1052
384,autoencoder-fraud,Human,Human,Python,bug_fix,4,103,4,5,85,0.3805,0.3917,21.6,3,2.8,99
385,transaction-anomaly-detection,Human,Human,Python,feature_engineering,5,431,99,7,76,0.297,0.1371,8.77,2,7.07,332
386,deepfraud-pytorch,Human,Human,R,model_architecture,2,292,115,7,79,0.3747,0.5677,94.99,2,-10.02,177
387,xgboost-fraud-pipeline,AI,Devin,Python,feature_engineering,2,66,7,5,130,0.7025,0.7586,14.17,1,-0.36,59
388,transaction-anomaly-detection,AI,GitHub Copilot,YAML,model_architecture,3,29,5,3,125,0.6126,0.8834,6.15,5,6.79,24
389,autoencoder-fraud,Human,Human,R,feature_engineering,4,27,23,5,85,0.285,0.4403,38.49,0,0.84,4
390,deepfraud-pytorch,Human,Human,Python,bug_fix,10,26,16,4,89,0.4491,0.3055,37.17,0,5.32,10
391,fraud-detector-nn,Human,Human,Python,test_suite,6,314,0,4,69,0.4065,0.4922,15.61,2,-7.84,314
392,autoencoder-fraud,AI,OpenAI Codex,R,bug_fix,1,16,20,6,132,0.8345,0.8092,8.83,4,5.97,-4
393,autoencoder-fraud,AI,OpenAI Codex,Python,model_architecture,1,123,2,6,163,0.5511,0.7396,1.88,3,0.11,121
394,deepfraud-pytorch,Human,Human,YAML,test_suite,4,147,357,4,83,0.6503,0.2567,17.32,2,-6.84,-210
395,antifraud-ensemble,AI,OpenAI Codex,YAML,data_pipeline,5,4,3,3,125,0.6998,0.3966,62.82,4,-3.99,1
396,transaction-anomaly-detection,Human,Human,Python,bug_fix,2,182,29,9,55,0.2922,0.367,26.29,2,-4.49,153
397,credit-card-fraud-ml,Human,Human,Python,data_pipeline,3,58,29,6,68,0.3669,0.3313,26.58,0,9.88,29
398,deepfraud-pytorch,AI,OpenAI Codex,Jupyter Notebook,hyperparameter_tuning,6,86,33,5,138,0.8861,0.8125,12.71,2,0.72,53
399,fraud-detector-nn,Human,Human,Python,feature_engineering,6,409,1358,9,78,0.6746,0.6313,55.29,2,4.73,-949
400,antifraud-ensemble,Human,Human,Python,feature_engineering,3,181,68,2,70,0.2407,0.6024,58.32,2,-3.59,113
401,deepfraud-pytorch,AI,GitHub Copilot,Python,refactor,3,53,28,1,151,0.7153,0.8694,2.52,1,6.99,25
402,antifraud-ensemble,Human,Human,Python,refactor,5,53,125,6,74,0.5185,0.6813,41.29,2,-0.51,-72
403,autoencoder-fraud,AI,Claude Code,Python,model_architecture,2,40,5,5,125,0.4095,0.8584,23.44,3,11.29,35
404,autoencoder-fraud,Human,Human,Python,feature_engineering,4,86,89,6,79,0.3157,0.4309,16.81,0,4.71,-3
405,fraud-detector-nn,AI,OpenAI Codex,Python,bug_fix,2,96,11,1,151,0.8316,0.6643,33.49,5,2.77,85
406,autoencoder-fraud,Human,Human,Jupyter Notebook,refactor,6,12,117,8,80,0.4414,0.2631,26.1,1,1.75,-105
407,autoencoder-fraud,AI,OpenAI Codex,Python,feature_engineering,2,90,11,3,133,0.7939,0.9184,10.91,7,-2.17,79
408,antifraud-ensemble,AI,GitHub Copilot,Python,hyperparameter_tuning,4,598,981,4,134,0.4823,0.789,18.23,2,3.51,-383
409,autoencoder-fraud,Human,Human,Python,feature_engineering,4,605,11,8,77,0.704,0.5274,65.89,4,-4.17,594
410,autoencoder-fraud,AI,GitHub Copilot,Jupyter Notebook,model_architecture,5,24,15,6,125,0.4637,0.8535,21.39,7,2.62,9
411,fraud-detector-nn,AI,OpenAI Codex,Python,hyperparameter_tuning,3,703,48,2,115,0.7532,0.7003,20.04,2,4.32,655
412,transaction-anomaly-detection,Human,Human,Jupyter Notebook,feature_engineering,4,298,6,7,71,0.496,0.1245,26.42,3,-1.76,292
413,antifraud-ensemble,Human,Human,Jupyter Notebook,feature_engineering,5,150,4,4,74,0.6117,0.2858,96.89,0,-3.69,146
414,credit-card-fraud-ml,Human,Human,Python,data_pipeline,3,16,113,7,80,0.4312,0.4809,1.93,1,3.06,-97
415,credit-card-fraud-ml,Human,Human,Python,model_architecture,4,17,16,2,68,0.521,0.5958,20.52,2,-3.96,1
416,credit-card-fraud-ml,AI,OpenAI Codex,SQL,model_architecture,4,67,23,2,128,0.4098,0.661,3.67,5,0.56,44
417,deepfraud-pytorch,AI,Devin,Jupyter Notebook,test_suite,2,61,26,5,138,0.252,0.5333,13.28,3,8.04,35
418,transaction-anomaly-detection,AI,OpenAI Codex,Python,documentation,6,52,12,3,124,0.7706,0.636,7.82,2,3.22,40
419,transaction-anomaly-detection,Human,Human,Jupyter Notebook,bug_fix,3,38,29,7,79,0.3665,0.2935,19.08,2,-3.05,9
420,fraud-detector-nn,Human,Human,Jupyter Notebook,test_suite,4,339,11,7,70,0.5928,0.2061,107.74,1,-3.16,328
421,fraud-detector-nn,Human,Human,Python,model_architecture,6,11,110,7,59,0.3789,0.4503,173.72,0,-0.34,-99
422,deepfraud-pytorch,Human,Human,Shell,feature_engineering,4,267,50,4,82,0.3668,0.3688,9.82,2,8.97,217
423,autoencoder-fraud,AI,GitHub Copilot,Jupyter Notebook,refactor,5,62,28,5,146,0.9435,0.6901,9.22,6,-1.13,34
424,xgboost-fraud-pipeline,AI,Claude Code,Python,bug_fix,3,28,22,2,160,0.9017,0.9443,7.63,4,-1.14,6
